u'u',v'v',w'w',u'w',u'v',v'w',k
1.384620070457458496e+00,-5.309345200657844543e-02,4.021883308887481689e-01,2.342853462323546410e-03,-4.586423188447952271e-02,4.840967245399951935e-03,8.668574690818786621e-01
1.484513163566589355e+00,-5.581177398562431335e-02,4.095163047313690186e-01,3.229255788028240204e-03,-4.946506768465042114e-02,4.807416815310716629e-03,9.191088676452636719e-01
1.588145613670349121e+00,-5.869660153985023499e-02,4.169591665267944336e-01,4.114505369216203690e-03,-5.318736284971237183e-02,4.779076669365167618e-03,9.732040762901306152e-01
1.695434570312500000e+00,-6.173906475305557251e-02,4.245067238807678223e-01,4.992525093257427216e-03,-5.703119188547134399e-02,4.756076727062463760e-03,1.029101133346557617e+00
1.806277990341186523e+00,-6.492823362350463867e-02,4.321509897708892822e-01,5.856571253389120102e-03,-6.099663674831390381e-02,4.738340619951486588e-03,1.086750388145446777e+00
1.920560002326965332e+00,-6.825097650289535522e-02,4.398851990699768066e-01,6.699717137962579727e-03,-6.508368998765945435e-02,4.725437145680189133e-03,1.146097064018249512e+00
2.038144826889038086e+00,-7.169132679700851440e-02,4.477044343948364258e-01,7.514659781008958817e-03,-6.929212808609008789e-02,4.716765601187944412e-03,1.207078933715820312e+00
2.158876180648803711e+00,-7.523004710674285889e-02,4.556062221527099609e-01,8.294055238366127014e-03,-7.362221926450729370e-02,4.711562767624855042e-03,1.269626140594482422e+00
2.282587289810180664e+00,-7.884567230939865112e-02,4.635918140411376953e-01,9.030373767018318176e-03,-7.807447016239166260e-02,4.708658903837203979e-03,1.333666682243347168e+00
2.409081935882568359e+00,-8.251415193080902100e-02,4.716631770133972168e-01,9.716294705867767334e-03,-8.264877647161483765e-02,4.706739448010921478e-03,1.399115562438964844e+00
2.538149595260620117e+00,-8.620776236057281494e-02,4.798272848129272461e-01,1.034447923302650452e-02,-8.734650909900665283e-02,4.704324994236230850e-03,1.465884447097778320e+00
2.669556617736816406e+00,-8.989568799734115601e-02,4.880933761596679688e-01,1.090820319950580597e-02,-9.216871857643127441e-02,4.699368495494127274e-03,1.533877134323120117e+00
2.803056240081787109e+00,-9.354632347822189331e-02,4.964744448661804199e-01,1.140128262341022491e-02,-9.711699187755584717e-02,4.689871333539485931e-03,1.602992177009582520e+00
2.938378095626831055e+00,-9.712433815002441406e-02,5.049861669540405273e-01,1.181809417903423309e-02,-1.021930575370788574e-01,4.673411138355731964e-03,1.673120021820068359e+00
3.075234651565551758e+00,-1.005928665399551392e-01,5.136469602584838867e-01,1.215408556163311005e-02,-1.073993891477584839e-01,4.647722002118825912e-03,1.744144439697265625e+00
3.213347673416137695e+00,-1.039148643612861633e-01,5.224797129631042480e-01,1.240580342710018158e-02,-1.127394586801528931e-01,4.609936382621526718e-03,1.815956234931945801e+00
3.352428436279296875e+00,-1.070531010627746582e-01,5.315086245536804199e-01,1.257092505693435669e-02,-1.182167530059814453e-01,4.557658452540636063e-03,1.888442039489746094e+00
3.492178916931152344e+00,-1.099691092967987061e-01,5.407609939575195312e-01,1.264836452901363373e-02,-1.238352209329605103e-01,4.488043952733278275e-03,1.961485385894775391e+00
3.632288932800292969e+00,-1.126258820295333862e-01,5.502640008926391602e-01,1.263852417469024658e-02,-1.295986324548721313e-01,4.398608114570379257e-03,2.034963607788085938e+00
3.772454738616943359e+00,-1.149869412183761597e-01,5.600471496582031250e-01,1.254294253885746002e-02,-1.355108022689819336e-01,4.286728799343109131e-03,2.108757495880126953e+00
3.912363290786743164e+00,-1.170182079076766968e-01,5.701383352279663086e-01,1.236471720039844513e-02,-1.415747404098510742e-01,4.150181077420711517e-03,2.182741641998291016e+00
4.051697731018066406e+00,-1.186874359846115112e-01,5.805650353431701660e-01,1.210829056799411774e-02,-1.477935016155242920e-01,3.987045027315616608e-03,2.256787776947021484e+00
4.190157413482666016e+00,-1.199661418795585632e-01,5.913534164428710938e-01,1.177927292883396149e-02,-1.541684120893478394e-01,3.795418422669172287e-03,2.330772399902343750e+00
4.327449321746826172e+00,-1.208301931619644165e-01,6.025272607803344727e-01,1.138438284397125244e-02,-1.607001274824142456e-01,3.574239555746316910e-03,2.404573202133178711e+00
4.463324069976806641e+00,-1.212592199444770813e-01,6.141089797019958496e-01,1.093113049864768982e-02,-1.673891544342041016e-01,3.322440199553966522e-03,2.478086948394775391e+00
4.597532749176025391e+00,-1.212374493479728699e-01,6.261181831359863281e-01,1.042765192687511444e-02,-1.742341816425323486e-01,3.039567265659570694e-03,2.551206827163696289e+00
4.729846954345703125e+00,-1.207538247108459473e-01,6.385688781738281250e-01,9.882802143692970276e-03,-1.812319606542587280e-01,2.725732512772083282e-03,2.623831033706665039e+00
4.860048770904541016e+00,-1.198012009263038635e-01,6.514719724655151367e-01,9.305469691753387451e-03,-1.883780658245086670e-01,2.381326630711555481e-03,2.695859909057617188e+00
4.987939357757568359e+00,-1.183776110410690308e-01,6.648328304290771484e-01,8.704664185643196106e-03,-1.956654191017150879e-01,2.007430884987115860e-03,2.767197132110595703e+00
5.113337039947509766e+00,-1.164855509996414185e-01,6.786513924598693848e-01,8.089385926723480225e-03,-2.030858695507049561e-01,1.605247263796627522e-03,2.837751388549804688e+00
5.236076354980468750e+00,-1.141313686966896057e-01,6.929225921630859375e-01,7.468223106116056442e-03,-2.106286585330963135e-01,1.177069614641368389e-03,2.907433748245239258e+00
5.356020927429199219e+00,-1.113263517618179321e-01,7.076359391212463379e-01,6.849281955510377884e-03,-2.182821482419967651e-01,7.247989415191113949e-04,2.976165294647216797e+00
5.473040580749511719e+00,-1.080844700336456299e-01,7.227760553359985352e-01,6.239981856197118759e-03,-2.260328978300094604e-01,2.512157661840319633e-04,3.043865919113159180e+00
5.587071895599365234e+00,-1.044238656759262085e-01,7.383266687393188477e-01,5.646992009133100510e-03,-2.338676005601882935e-01,-2.410432789474725723e-04,3.110487222671508789e+00
5.698051929473876953e+00,-1.003644987940788269e-01,7.542656660079956055e-01,5.076098721474409103e-03,-2.417727708816528320e-01,-7.490353891626000404e-04,3.175976514816284180e+00
5.805936813354492188e+00,-9.592800587415695190e-02,7.705694437026977539e-01,4.532318562269210815e-03,-2.497332394123077393e-01,-1.269632717594504356e-03,3.240288972854614258e+00
5.910701751708984375e+00,-9.113834798336029053e-02,7.872087359428405762e-01,4.019771702587604523e-03,-2.577343583106994629e-01,-1.799833378754556179e-03,3.303385972976684570e+00
6.012327194213867188e+00,-8.602099120616912842e-02,8.041521906852722168e-01,3.541749902069568634e-03,-2.657596170902252197e-01,-2.336447127163410187e-03,3.365229129791259766e+00
6.110816478729248047e+00,-8.060119301080703735e-02,8.213666081428527832e-01,3.100817557424306870e-03,-2.737950980663299561e-01,-2.876436337828636169e-03,3.425791025161743164e+00
6.206179618835449219e+00,-7.490643113851547241e-02,8.388167023658752441e-01,2.698672004044055939e-03,-2.818245291709899902e-01,-3.417003899812698364e-03,3.485044956207275391e+00
6.298434257507324219e+00,-6.896302849054336548e-02,8.564646840095520020e-01,2.336363308131694794e-03,-2.898328304290771484e-01,-3.955215681344270706e-03,3.542968034744262695e+00
6.387610435485839844e+00,-6.279859691858291626e-02,8.742727637290954590e-01,2.014403929933905602e-03,-2.978058457374572754e-01,-4.488566890358924866e-03,3.599542379379272461e+00
6.473759651184082031e+00,-5.643827468156814575e-02,8.922048807144165039e-01,1.732579199597239494e-03,-3.057306408882141113e-01,-5.014589987695217133e-03,3.654762983322143555e+00
6.556942939758300781e+00,-4.990709945559501648e-02,9.102259874343872070e-01,1.490099122747778893e-03,-3.135951459407806396e-01,-5.531396251171827316e-03,3.708630800247192383e+00
6.637225151062011719e+00,-4.322941601276397705e-02,9.283025860786437988e-01,1.285981154069304466e-03,-3.213890194892883301e-01,-6.037117447704076767e-03,3.761149168014526367e+00
6.714680671691894531e+00,-3.642811998724937439e-02,9.463999867439270020e-01,1.118818530812859535e-03,-3.291024863719940186e-01,-6.530102808028459549e-03,3.812326431274414062e+00
6.789388179779052734e+00,-2.952487394213676453e-02,9.644888043403625488e-01,9.869813220575451851e-04,-3.367261886596679688e-01,-7.008913904428482056e-03,3.862176179885864258e+00
6.861414432525634766e+00,-2.253978699445724487e-02,9.825376868247985840e-01,8.886629948392510414e-04,-3.442525565624237061e-01,-7.472697645425796509e-03,3.910706281661987305e+00
6.930850505828857422e+00,-1.549279689788818359e-02,1.000518321990966797e+00,8.217579452320933342e-04,-3.516745269298553467e-01,-7.920470088720321655e-03,3.957937955856323242e+00
6.997761249542236328e+00,-8.401989936828613281e-03,1.018402218818664551e+00,7.843648781999945641e-04,-3.589849770069122314e-01,-8.351281285285949707e-03,4.003880977630615234e+00
7.062232017517089844e+00,-1.284188590943813324e-03,1.036164760589599609e+00,7.743012392893433571e-04,-3.661788105964660645e-01,-8.764717727899551392e-03,4.048556327819824219e+00
7.124342441558837891e+00,5.844974424690008163e-03,1.053782224655151367e+00,7.894268492236733437e-04,-3.732514977455139160e-01,-9.160492569208145142e-03,4.091984748840332031e+00
7.184165477752685547e+00,1.297018676996231079e-02,1.071232199668884277e+00,8.276627631857991219e-04,-3.801985979080200195e-01,-9.538291022181510925e-03,4.134183883666992188e+00
7.241792201995849609e+00,2.007969096302986145e-02,1.088496565818786621e+00,8.870387682691216469e-04,-3.870175480842590332e-01,-9.898227639496326447e-03,4.175184249877929688e+00
7.297295093536376953e+00,2.716146036982536316e-02,1.105560183525085449e+00,9.653961751610040665e-04,-3.937063813209533691e-01,-1.023989915847778320e-02,4.215008258819580078e+00
7.350764274597167969e+00,3.420543298125267029e-02,1.122408509254455566e+00,1.060790847986936569e-03,-4.002638161182403564e-01,-1.056416332721710205e-02,4.253689289093017578e+00
7.402276039123535156e+00,4.120276123285293579e-02,1.139029264450073242e+00,1.171681331470608711e-03,-4.066892266273498535e-01,-1.087090466171503067e-02,4.291254043579101562e+00
7.451903820037841797e+00,4.814448207616806030e-02,1.155411958694458008e+00,1.296055386774241924e-03,-4.129819869995117188e-01,-1.116039697080850601e-02,4.327730178833007812e+00
7.499726772308349609e+00,5.502338707447052002e-02,1.171545982360839844e+00,1.432484947144985199e-03,-4.191422760486602783e-01,-1.143309939652681351e-02,4.363147735595703125e+00
7.545812129974365234e+00,6.183307617902755737e-02,1.187424659729003906e+00,1.579498406499624252e-03,-4.251701235771179199e-01,-1.168962474912405014e-02,4.397534847259521484e+00
7.590230941772460938e+00,6.856801360845565796e-02,1.203041911125183105e+00,1.735578523948788643e-03,-4.310671687126159668e-01,-1.193020492792129517e-02,4.430920600891113281e+00
7.633049011230468750e+00,7.522251456975936890e-02,1.218390464782714844e+00,1.899437513202428818e-03,-4.368334114551544189e-01,-1.215549744665622711e-02,4.463331222534179688e+00
7.674329757690429688e+00,8.179300278425216675e-02,1.233467340469360352e+00,2.069954760372638702e-03,-4.424704909324645996e-01,-1.236604712903499603e-02,4.494794845581054688e+00
7.714135646820068359e+00,8.827494829893112183e-02,1.248269081115722656e+00,2.246059244498610497e-03,-4.479796886444091797e-01,-1.256214175373315811e-02,4.525340080261230469e+00
7.752523899078369141e+00,9.466562420129776001e-02,1.262793421745300293e+00,2.426684368401765823e-03,-4.533629715442657471e-01,-1.274458412081003189e-02,4.554991245269775391e+00
7.789554595947265625e+00,1.009625568985939026e-01,1.277039647102355957e+00,2.610922092571854591e-03,-4.586220681667327881e-01,-1.291390694677829742e-02,4.583778381347656250e+00
7.825284004211425781e+00,1.071640625596046448e-01,1.291007757186889648e+00,2.798011526465415955e-03,-4.637594223022460938e-01,-1.307056937366724014e-02,4.611727714538574219e+00
7.859767436981201172e+00,1.132684722542762756e-01,1.304699301719665527e+00,2.987184561789035797e-03,-4.687772691249847412e-01,-1.321515720337629318e-02,4.638867378234863281e+00
7.893054485321044922e+00,1.192748323082923889e-01,1.318115949630737305e+00,3.177743637934327126e-03,-4.736777245998382568e-01,-1.334822736680507660e-02,4.665222644805908203e+00
7.925198554992675781e+00,1.251825243234634399e-01,1.331259131431579590e+00,3.369188634678721428e-03,-4.784635305404663086e-01,-1.347039174288511276e-02,4.690819740295410156e+00
7.956242561340332031e+00,1.309906840324401855e-01,1.344130635261535645e+00,3.560950048267841339e-03,-4.831368923187255859e-01,-1.358214579522609711e-02,4.715682029724121094e+00
7.986228942871093750e+00,1.366994678974151611e-01,1.356733918190002441e+00,3.752522170543670654e-03,-4.877004623413085938e-01,-1.368394587188959122e-02,4.739831447601318359e+00
8.015211105346679688e+00,1.423091739416122437e-01,1.369073152542114258e+00,3.943414893001317978e-03,-4.921568930149078369e-01,-1.377632189542055130e-02,4.763296604156494141e+00
8.043218612670898438e+00,1.478194892406463623e-01,1.381150126457214355e+00,4.133415874093770981e-03,-4.965083003044128418e-01,-1.385969948023557663e-02,4.786094188690185547e+00
8.070298194885253906e+00,1.532313227653503418e-01,1.392969250679016113e+00,4.322016146034002304e-03,-5.007570385932922363e-01,-1.393468119204044342e-02,4.808249473571777344e+00
8.096485137939453125e+00,1.585453599691390991e-01,1.404535293579101562e+00,4.509186837822198868e-03,-5.049062371253967285e-01,-1.400156505405902863e-02,4.829782962799072266e+00
8.121810913085937500e+00,1.637620329856872559e-01,1.415851235389709473e+00,4.694384057074785233e-03,-5.089579224586486816e-01,-1.406087167561054230e-02,4.850712299346923828e+00
8.146317481994628906e+00,1.688826084136962891e-01,1.426921844482421875e+00,4.877583123743534088e-03,-5.129145979881286621e-01,-1.411300245672464371e-02,4.871060848236083984e+00
8.170033454895019531e+00,1.739080995321273804e-01,1.437751650810241699e+00,5.058516282588243484e-03,-5.167787075042724609e-01,-1.415824145078659058e-02,4.890846729278564453e+00
8.192988395690917969e+00,1.788399219512939453e-01,1.448345661163330078e+00,5.237108096480369568e-03,-5.205526351928710938e-01,-1.419703382998704910e-02,4.910086631774902344e+00
8.215215682983398438e+00,1.836787164211273193e-01,1.458708405494689941e+00,5.413074977695941925e-03,-5.242385864257812500e-01,-1.422975398600101471e-02,4.928801536560058594e+00
8.236743927001953125e+00,1.884265094995498657e-01,1.468843936920166016e+00,5.586517974734306335e-03,-5.278396606445312500e-01,-1.425693277269601822e-02,4.947007179260253906e+00
8.257598876953125000e+00,1.930842399597167969e-01,1.478758454322814941e+00,5.757114849984645844e-03,-5.313571095466613770e-01,-1.427846308797597885e-02,4.964721202850341797e+00
8.277807235717773438e+00,1.976538300514221191e-01,1.488455414772033691e+00,5.924941506236791611e-03,-5.347939133644104004e-01,-1.429504528641700745e-02,4.981958389282226562e+00
8.297394752502441406e+00,2.021366357803344727e-01,1.497939825057983398e+00,6.089915055781602859e-03,-5.381522178649902344e-01,-1.430672407150268555e-02,4.998735904693603516e+00
8.316383361816406250e+00,2.065339088439941406e-01,1.507217645645141602e+00,6.251994054764509201e-03,-5.414338111877441406e-01,-1.431405358016490936e-02,5.015067100524902344e+00
8.334798812866210938e+00,2.108476459980010986e-01,1.516293048858642578e+00,6.411137524992227554e-03,-5.446411967277526855e-01,-1.431698258966207504e-02,5.030969619750976562e+00
8.352660179138183594e+00,2.150791734457015991e-01,1.525170087814331055e+00,6.567458156496286392e-03,-5.477764010429382324e-01,-1.431606709957122803e-02,5.046454906463623047e+00
8.369992256164550781e+00,2.192306369543075562e-01,1.533855557441711426e+00,6.720654200762510300e-03,-5.508410334587097168e-01,-1.431123260408639908e-02,5.061539173126220703e+00
8.386811256408691406e+00,2.233028858900070190e-01,1.542351245880126953e+00,6.870975252240896225e-03,-5.538373589515686035e-01,-1.430295966565608978e-02,5.076232910156250000e+00
8.403139114379882812e+00,2.272979915142059326e-01,1.550664186477661133e+00,7.018303032964468002e-03,-5.567676424980163574e-01,-1.429141871631145477e-02,5.090550422668457031e+00
8.418990135192871094e+00,2.312178462743759155e-01,1.558798313140869141e+00,7.162770256400108337e-03,-5.596332550048828125e-01,-1.427675504237413406e-02,5.104502677917480469e+00
8.434388160705566406e+00,2.350634932518005371e-01,1.566757559776306152e+00,7.304254453629255295e-03,-5.624361038208007812e-01,-1.425927132368087769e-02,5.118104457855224609e+00
8.449341773986816406e+00,2.388366907835006714e-01,1.574545741081237793e+00,7.442901376634836197e-03,-5.651781558990478516e-01,-1.423875987529754639e-02,5.131361961364746094e+00
8.463873863220214844e+00,2.425389289855957031e-01,1.582167983055114746e+00,7.578592281788587570e-03,-5.678609609603881836e-01,-1.421590149402618408e-02,5.144290447235107422e+00
8.477995872497558594e+00,2.461722791194915771e-01,1.589628458023071289e+00,7.711512502282857895e-03,-5.704863071441650391e-01,-1.419060863554477692e-02,5.156898021697998047e+00
8.491724967956542969e+00,2.497382760047912598e-01,1.596932172775268555e+00,7.841691374778747559e-03,-5.730559825897216797e-01,-1.416309364140033722e-02,5.169198036193847656e+00
8.505076408386230469e+00,2.532379031181335449e-01,1.604081630706787109e+00,7.969046011567115784e-03,-5.755712389945983887e-01,-1.413335651159286499e-02,5.181198120117187500e+00
8.518060684204101562e+00,2.566735744476318359e-01,1.611082315444946289e+00,8.093744516372680664e-03,-5.780339241027832031e-01,-1.410181820392608643e-02,5.192908287048339844e+00
8.530691146850585938e+00,2.600457668304443359e-01,1.617937326431274414e+00,8.215812966227531433e-03,-5.804451704025268555e-01,-1.406828779727220535e-02,5.204337120056152344e+00
8.542982101440429688e+00,2.633575797080993652e-01,1.624651670455932617e+00,8.335255086421966553e-03,-5.828076601028442383e-01,-1.403321418911218643e-02,5.215495586395263672e+00
8.554945945739746094e+00,2.666092216968536377e-01,1.631228566169738770e+00,8.452221751213073730e-03,-5.851219892501831055e-01,-1.399642042815685272e-02,5.226391792297363281e+00
8.566596031188964844e+00,2.698027491569519043e-01,1.637671947479248047e+00,8.566552773118019104e-03,-5.873895287513732910e-01,-1.395805273205041885e-02,5.237035751342773438e+00
8.577940940856933594e+00,2.729400098323822021e-01,1.643986105918884277e+00,8.678548038005828857e-03,-5.896118283271789551e-01,-1.391843240708112717e-02,5.247433185577392578e+00
8.588993072509765625e+00,2.760222852230072021e-01,1.650174260139465332e+00,8.787995204329490662e-03,-5.917905569076538086e-01,-1.387730520218610764e-02,5.257594585418701172e+00
8.599761962890625000e+00,2.790505588054656982e-01,1.656240105628967285e+00,8.895307779312133789e-03,-5.939270257949829102e-01,-1.383507438004016876e-02,5.267526626586914062e+00
8.610258102416992188e+00,2.820267379283905029e-01,1.662185668945312500e+00,9.000133723020553589e-03,-5.960214734077453613e-01,-1.379164960235357285e-02,5.277235031127929688e+00
8.620491027832031250e+00,2.849521934986114502e-01,1.668017625808715820e+00,9.102871641516685486e-03,-5.980769395828247070e-01,-1.374719943851232529e-02,5.286730289459228516e+00
8.630467414855957031e+00,2.878280580043792725e-01,1.673735499382019043e+00,9.203355759382247925e-03,-6.000930666923522949e-01,-1.370167266577482224e-02,5.296015739440917969e+00
8.640199661254882812e+00,2.906558215618133545e-01,1.679345965385437012e+00,9.301735088229179382e-03,-6.020722389221191406e-01,-1.365534868091344833e-02,5.305100917816162109e+00
8.649694442749023438e+00,2.934370636940002441e-01,1.684849619865417480e+00,9.398054331541061401e-03,-6.040143370628356934e-01,-1.360805053263902664e-02,5.313990592956542969e+00
8.658962249755859375e+00,2.961727976799011230e-01,1.690251111984252930e+00,9.492255747318267822e-03,-6.059218645095825195e-01,-1.355988997966051102e-02,5.322693347930908203e+00
8.668010711669921875e+00,2.988645434379577637e-01,1.695553064346313477e+00,9.584626182913780212e-03,-6.077953577041625977e-01,-1.351099181920289993e-02,5.331213951110839844e+00
8.676845550537109375e+00,3.015139400959014893e-01,1.700758695602416992e+00,9.674970060586929321e-03,-6.096360087394714355e-01,-1.346144452691078186e-02,5.339559078216552734e+00
8.685475349426269531e+00,3.041218817234039307e-01,1.705871939659118652e+00,9.763456881046295166e-03,-6.114447712898254395e-01,-1.341108232736587524e-02,5.347734451293945312e+00
8.693910598754882812e+00,3.066899180412292480e-01,1.710895299911499023e+00,9.850172325968742371e-03,-6.132230162620544434e-01,-1.336021814495325089e-02,5.355748176574707031e+00
8.702157974243164062e+00,3.092192113399505615e-01,1.715830922126770020e+00,9.935159236192703247e-03,-6.149715781211853027e-01,-1.330860424786806107e-02,5.363604068756103516e+00
8.710221290588378906e+00,3.117113411426544189e-01,1.720682859420776367e+00,1.001841761171817780e-02,-6.166917085647583008e-01,-1.325666718184947968e-02,5.371307849884033203e+00
8.718109130859375000e+00,3.141672909259796143e-01,1.725453734397888184e+00,1.010006666183471680e-02,-6.183843612670898438e-01,-1.320414710789918900e-02,5.378864765167236328e+00
8.725830078125000000e+00,3.165884912014007568e-01,1.730146646499633789e+00,1.018011942505836487e-02,-6.200503706932067871e-01,-1.315081119537353516e-02,5.386282444000244141e+00
8.733386039733886719e+00,3.189758956432342529e-01,1.734762907028198242e+00,1.025849953293800354e-02,-6.216910481452941895e-01,-1.309720519930124283e-02,5.393562316894531250e+00
8.740785598754882812e+00,3.213306069374084473e-01,1.739306688308715820e+00,1.033555716276168823e-02,-6.233067512512207031e-01,-1.304329372942447662e-02,5.400711536407470703e+00
8.748038291931152344e+00,3.236542344093322754e-01,1.743779897689819336e+00,1.041104272007942200e-02,-6.248991489410400391e-01,-1.298880204558372498e-02,5.407736301422119141e+00
8.755142211914062500e+00,3.259471952915191650e-01,1.748185396194458008e+00,1.048528216779232025e-02,-6.264686584472656250e-01,-1.293388754129409790e-02,5.414637088775634766e+00
8.762106895446777344e+00,3.282113969326019287e-01,1.752525329589843750e+00,1.055796816945075989e-02,-6.280157566070556641e-01,-1.287858188152313232e-02,5.421422004699707031e+00
8.768938064575195312e+00,3.304473757743835449e-01,1.756801247596740723e+00,1.062943041324615479e-02,-6.295421719551086426e-01,-1.282297633588314056e-02,5.428093433380126953e+00
8.775641441345214844e+00,3.326565623283386230e-01,1.761017322540283203e+00,1.069962978363037109e-02,-6.310482621192932129e-01,-1.276691071689128876e-02,5.434658050537109375e+00
8.782220840454101562e+00,3.348399400711059570e-01,1.765176057815551758e+00,1.076859608292579651e-02,-6.325352191925048828e-01,-1.271047815680503845e-02,5.441118240356445312e+00
8.788681983947753906e+00,3.369986116886138916e-01,1.769278168678283691e+00,1.083644479513168335e-02,-6.340034008026123047e-01,-1.265366934239864349e-02,5.447479724884033203e+00
8.795031547546386719e+00,3.391340076923370361e-01,1.773327469825744629e+00,1.090312190353870392e-02,-6.354538798332214355e-01,-1.259668450802564621e-02,5.453746795654296875e+00
8.801269531250000000e+00,3.412467837333679199e-01,1.777326107025146484e+00,1.096873544156551361e-02,-6.368877291679382324e-01,-1.253908593207597733e-02,5.459920883178710938e+00
8.807405471801757812e+00,3.433383703231811523e-01,1.781276464462280273e+00,1.103334315121173859e-02,-6.383059024810791016e-01,-1.248132064938545227e-02,5.466010093688964844e+00
8.813446998596191406e+00,3.454095721244812012e-01,1.785180568695068359e+00,1.109698787331581116e-02,-6.397083997726440430e-01,-1.242317631840705872e-02,5.472018241882324219e+00
